turbine_type,calculated,has_cp_curve,has_ct_curve,has_power_curve,hub_height,id,manufacturer,max_speed_drive,name,nominal_power,power_density,power_density_2,rotor_area,rotor_diameter,source,turbine_id,turbine_type_v2,wind_class_iec,wind_zone_dibt
SWT101/2300,,False,False,False,80;,75,Siemens,,SWT-2.3-101,2300000,,,8011,101,,80,SWT-101_2300,,
SWT93/2300,,False,False,False,80;,76,Siemens,,SWT-2.3-93,2300000,,,6792,93,,81,SWT-93_2300,,
SWT82/2300,,False,False,False,80;,77,Siemens,,SWT-2.3-82,2300000,,,5280,82,,82,SWT-82_2300,,
SWT62/1300,,False,False,False,68-90,78,Siemens,,SWT-1.3-62,1300000,,,3019,62,,83,SWT-62_1300,,
V117/4200,True,False,False,False,84 ; 91.5,45,Vestas,,V117-4.2 MW,4200000,,,10750,117,,49,V-117_4200,IEC IIA,
V136/4200,,False,False,False,,35,Vestas,,V136-4.2 MW,4200000,,,14525,136,,38,V-136_4200,,
V105/3450,,False,False,False,,37,Vestas,,V105-3.45 MW,3450000,,,8658,105,,41,V-105_3450,,
V164/8000,,False,False,True,105; 140,33,Vestas,,V164-8.0 MW,8000000,,,21121,164,https://www.wind-turbine-models.com/turbines/1419-mhi-vestas-offshore-v164-8.0-mw,36,V-164_8000,,
V150/4200,,False,False,False,,34,Vestas,,V150-4.2 MW,4200000,,,17669,150,,37,V-150_4200,,
V117/4000,True,False,False,False,84  ; 91.5,46,Vestas,,V117-4.0 MW,4000000,,,10750,117,,50,V-117_4000,,
V120/2200,,False,False,False,80; 92; 118; 122; 137,38,Vestas,,V120-2.2 MW,2200000,,,11308,120,,42,V-120_2200,,
V116/2100,,False,False,False,84; 94,39,Vestas,,V116-2.1 MW,2100000,,,10567,116,,43,V-116_2100,,
V110/2000,,False,False,False,80;95;125,40,Vestas,,V110-2.0 MW,2000000,,,9502,110,,44,V-110_2000,,
V100/2000,,False,False,False,80; 95; 120,41,Vestas,,V100-2.0 MW,2000000,,,7853,100,,45,V-100_2000,,
V126/3450,True,True,True,True,117; 137; 147; 149,42,Vestas,,V126-3.45 MW,3450000,277,4,12467,126,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1249-vestas-v126-3.45,46,V-126_3450,,
V126/3300,True,True,True,True,117;137,43,Vestas,,V126-3.3 MW,3300000,265,4,12467,126,https://www.wind-turbine-models.com/turbines/695-vestas-v126-3.3; https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/695-vestas-v126-3.3,47,V-126_3300,IEC IIIa,
VS87/1500,,False,False,False,85;100,106,Vensys,,VENSYS87 1.5MW,1500000,,,5944,87,,114,VS-87_1500,,
VS112/2500,,False,False,True,93.5;143.5,103,Vensys,,VENSYS112 2.5MW,2500000,,,9851,112,,111,VS-112_2500,,
V126/3000,True,True,True,True,119,44,Vestas,,V126-3.0 MW,3000000,,,12467,126,https://www.wind-turbine-models.com/turbines/1345-vestas-v126-3.0,48,V-126_3000,,
V117/3450,True,True,True,True,91.5; 116.5; 141.5,47,Vestas,,V117-3.45 MW,3450000,321,3,10750,117,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1248-vestas-v117-3.45,51,V-117_3450,,
V117/3300,True,True,True,True,91.5; 116.5,48,Vestas,,V117-3.3 MW,3300000,,,10750,117,,52,V-117_3300,,
V112/3450,True,True,True,True,84;,49,Vestas,,V112-3.45 MW,3450000,350,3,9851,112,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1247-vestas-v112-3.45,53,V-112_3450,,
VS136/3500,,False,False,False,,99,Vensys,,VENSYS136 3.5MW,3500000,,,14525,136,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php,107,VS-136_3500,,
VS82/1500,,False,False,False,85;,107,Vensys,,VENSYS82 1.5MW,1500000,,,5280,82,,115,VS-82_1500,,
VS100/2500,,False,False,False,100;,105,Vensys,,VENSYS100 2.5MW,2500000,,,7853,100,,113,VS-100_2500,,
V112/3300,True,True,True,True,84; 94; 119; 140,50,Vestas,,V112-3.3 MW,3300000,335,3,9851,112,,54,V-112_3300,,
V112/3075,True,True,True,True,84; 94; 119,51,Vestas,18,V112-3.075 MW,3075000,312,3,9851,112,https://www.wind-turbine-models.com/turbines/7-vestas-v112-onshore,55,V-112_3075,IIa,
V112/3000,,True,True,True,,52,Vestas,,V112-3.0 MW,3000000,,,9851,112,http://www.windenergie-im-binnenland.de/powercurve.php,56,V-112_3000,,
V90/3000,,False,False,True,80;,53,Vestas,,V90-3.0 MW,3000000,,,6361,90,https://www.wind-turbine-models.com/turbines/16-vestas-v90 https://www.researchgate.net/figure/Electric-Power-output-kW-table-of-Vesta-V90-3-MW-54_fig3_324816253,57,V-90_3000,IEC IIA/IEC S,
V90/2000,True,True,False,True,80;,54,Vestas,,V90-2.0 MW,2000000,314,3,6361,90,https://www.wind-turbine-models.com/turbines/16-vestas-v90,58,V-90_2000,IEC IIA/IEC S,
VS120/3000,,False,False,False,90;140,101,Vensys,,VENSYS120 3.0MW,3000000,,,11308,120,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php,109,VS-120_3000,,
VS112/3000,,False,False,False,93.5; 140,102,Vensys,,VENSYS112 3.0MW,3000000,,,9851,112,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php,110,VS-112_3000,,
V164/9500,,False,False,True,105; 140,131,Vestas,,,9500000,,,21121,164,http://www.mhivestasoffshore.com/; engauge digitizer; https://www.thewindpower.net/turbine_en_1476_mhi-vestas-offshore_v164-9500.php,143,V-164_9500,,
V90/2000/GS,,True,True,True,,133,Vestas,,V90/2000 GS,2000000,,,6361,90,http://www.windenergie-im-binnenland.de/powercurve.php,145,V-90_2000_GS,,
V100/1800,,True,True,True,,134,Vestas,,V100/1800,1800000,,,7853,100,http://www.windenergie-im-binnenland.de/powercurve.php,146,V-100_1800,,
